category,patch_file,dissimilarity_d1,dissimilarity_d3,dissimilarity_d5,correlation_d1,correlation_d3,correlation_d5,contrast_d1,contrast_d3,contrast_d5,energy_d1,energy_d3,energy_d5,homogeneity_d1,homogeneity_d3,homogeneity_d5,ASM_d1,ASM_d3,ASM_d5
laminat,laminat_p_384_128.png,0.336386516523033,0.5731087726757369,0.699840198112569,0.8589517733311935,0.7172349387681176,0.6198217277928217,0.3789660704321408,0.7656703357268834,1.0421307121012156,0.3581691660543785,0.30087808822213,0.2803871881428347,0.8360603206500529,0.7325733980629289,0.6838302017278888,0.1295369009607517,0.0912723884916288,0.07932058308916556
laminat,laminat_p_384_256.png,0.3765244522676547,0.6145572168682287,0.7179893580852432,0.7691278773483812,0.5603605775846647,0.4608440076329973,0.4352463197113895,0.8308623944948351,1.0247066024656735,0.39020963162525363,0.3339767838758624,0.3173728767887558,0.8176099606105462,0.71425209329102,0.6714740957500761,0.15366987983905356,0.11216224151658483,0.10124956584596803
laminat,laminat_p_384_384.png,0.34395004727509476,0.5750356552343159,0.6973844783973335,0.7608531156120956,0.5484536394126024,0.4157386070757412,0.4246458727292456,0.805025884196271,1.048242582411191,0.4252170850441856,0.3648364027903287,0.34385092674732837,0.8358636240073667,0.7348142836102349,0.6853351213393636,0.18201246181911673,0.1338401777134296,0.11892549286937013
laminat,laminat_p_512_0.png,0.30247414401078815,0.5090324231544469,0.6288589597979746,0.8099757834716039,0.6346756982967816,0.5200686301766467,0.3566145413540828,0.6841918934240362,0.8934915264946743,0.4147227308538949,0.35570491191786757,0.33306917980488937,0.8541108852579695,0.762381805669253,0.7113197766989545,0.17316783830990076,0.12722273606710394,0.11153206315317372
laminat,laminat_p_512_128.png,0.3352832291602085,0.5647765180146131,0.6572138311580502,0.8535579616539597,0.7192809278721706,0.6560335896909383,0.3812359773157048,0.7317445987654317,0.8996728449944164,0.3589736166168653,0.30122654615966665,0.2846609254655208,0.8369187509744507,0.7341557189827495,0.6954311066591482,0.12965603152002678,0.09104903197785076,0.08130881595328704
laminat,laminat_p_512_256.png,0.37806706863413725,0.6028156690917108,0.6749943522742655,0.7338830159952132,0.5179790901960829,0.4297127511442092,0.4340328368156736,0.7807952136873269,0.9153602046109235,0.4004516242728675,0.346304529714889,0.3370603536839906,0.8165384511057483,0.7163524476225676,0.6864548269385591,0.161027809843967,0.12008500395045403,0.1137569369214935
laminat,laminat_p_512_384.png,0.39857106667338343,0.658392254818594,0.7908713254422479,0.8009585158497414,0.6308365201560722,0.5172098416465402,0.5109932758928019,0.9412498464663643,1.222948946938741,0.3595616354805563,0.30339525237963155,0.28594752300777415,0.8113551321901222,0.6982839584378737,0.6468638253063398,0.13037509166755504,0.092586444218652,0.08228599549764355
trawa,trawa_p_0_0.png,6.380302827011906,7.147046426209341,7.175278622237802,0.20681612062402782,0.01985146221219424,0.01238182807669507,66.29849971809332,81.87237104355594,82.44042354902696,0.045992122446978465,0.04517927885988969,0.0452196181712784,0.14739898159397602,0.13150140882154773,0.13040297286537067,0.0021156569359987182,0.0020411839475636176,0.002044818589150562
trawa,trawa_p_0_128.png,6.324802180854365,6.832008786848042,6.863316610248888,0.15190143083464042,0.02191556159563303,0.012256035923580773,64.77408317316646,74.64687228363533,75.21277705911648,0.04773015727716545,0.04727897433505579,0.0473035081935116,0.14808729195995968,0.1354054092736513,0.1346179408475163,0.0022783283008449397,0.0022353060640302935,0.0022376270026046256
trawa,trawa_p_0_256.png,6.0598738345914205,6.470637160651278,6.51425244402109,0.13714616925218176,0.02617229598048092,0.010980088829297026,59.371163136857575,66.97595484930056,68.05190112891073,0.04995345493058419,0.049537705688104006,0.04951454875461295,0.15289712115714543,0.1435083021521765,0.1432772956463595,0.002495533464004227,0.002453986537556383,0.0024516966904653778
trawa,trawa_p_0_384.png,5.646115159417816,6.056033312862167,6.132569538738439,0.16125576591840945,0.04735288805663599,0.02010540934699114,51.4447348816574,58.46254860323738,60.12280885425926,0.05278620982058076,0.05217824726629182,0.05221519253461727,0.16265878060919425,0.14964683228959638,0.14938564576170416,0.0027870252585109234,0.0027225797321998846,0.002726428748924487
trawa,trawa_p_128_0.png,6.242871196679897,7.026462959026171,7.052087926860977,0.21467883338597255,0.020696425844667195,0.007042451651165096,63.04998905310323,78.58272441499712,79.62677207722095,0.046682302791999336,0.045874588220513275,0.04592296874689275,0.149685452778454,0.1313944559332615,0.13256894974086522,0.002179631632849341,0.0021044826410952745,0.0021089203145407526
trawa,trawa_p_128_128.png,6.397089118396991,6.946167095773465,6.981922105799979,0.17018021157283414,0.03312329539719073,0.02580904338732913,66.48959039714975,77.37315829317811,78.01926305738334,0.04702300027515536,0.04649427974976469,0.04644202714910808,0.1455387253664335,0.13442612566931694,0.13270703856108323,0.0022113516163562224,0.0021617195034788423,0.002156867432525233
trawa,trawa_p_128_256.png,5.962124705499418,6.382676941609947,6.386351383451551,0.13876078903460815,0.029876537411379925,0.023731177847579474,57.38458047228606,64.76606858623047,65.11643586338222,0.0505019075212012,0.050052007354538935,0.0500361850043667,0.15715206637785384,0.14471818943558742,0.14562924942965821,0.0025506064922259275,0.002505209669201782,0.002503625059412794
trawa,trawa_p_128_384.png,5.522145306009356,5.973458360890633,5.992515011912759,0.16579517438521227,0.036572777225555186,0.029249888345764887,49.35135070660773,57.01989086120537,57.260862784124484,0.05384879446404248,0.05311366365890616,0.05323254712164558,0.16676435769614717,0.1532508149138195,0.15237041019472852,0.0029002252219923314,0.0028210668859926665,0.002833709682059425
